"lo_id","bloom","review_traceability_ids","review_count","mapping_status"
"LO-C1-01","apply","",0,"unmapped"
"LO-C3-01","apply","",0,"unmapped"
"LO-C4-01","apply","",0,"unmapped"
"LO-C5-01","apply","",0,"unmapped"
"LO-C5S5.1-01","understand","",0,"unmapped"
"LO-C5S5.2-01","understand","",0,"unmapped"
"LO-C5S5.3-01","apply","",0,"unmapped"
"LO-C5S5.4-01","apply","",0,"unmapped"
"LO-C5S5.5-01","analyze","",0,"unmapped"
"LO-C5S5.6-01","understand","",0,"unmapped"
"LO-C5S5.7-01","analyze","",0,"unmapped"
"LO-C5S5.8-01","evaluate","",0,"unmapped"
"LO-C5S5.9-01","apply","",0,"unmapped"
"LO-C6-01","understand","RQ-C6-001",1,"mapped"
"LO-C6-02","analyze","RQ-C6-013",1,"mapped"
"LO-C6S6.2-01","apply","RQ-C6-003, RQ-C6-012",2,"mapped"
"LO-C6S6.2-02","evaluate","RQ-C6-002",1,"mapped"
