"lo_id","bloom","workshop_traceability_ids","workshop_count","mapping_status"
"LO-C1-01","apply","WX-probability-distributions-1.1-1, WX-probability-distributions-1.1-2, WX-probability-distributions-1.1-3, WX-probability-distributions-1.2-1, WX-probability-distributions-1.3-1, WX-probability-distributions-1.3-2, WX-probability-distributions-1.4-1, WX-probability-distributions-1.4-2, WX-probability-distributions-1.5-1, WX-probability-distributions-1.6-1, WX-probability-distributions-1.6-2, WX-probability-distributions-1.7-1, WX-probability-distributions-1.7-2",13,"mapped"
"LO-C1-02","remember","WX-probability-distributions-1.1-1",1,"mapped"
"LO-C1-03","remember","WX-probability-distributions-1.1-1, WX-probability-distributions-1.4-1",2,"mapped"
"LO-C1-04","remember","WX-probability-distributions-1.1-1, WX-probability-distributions-1.2-1, WX-probability-distributions-1.3-1, WX-probability-distributions-1.4-1, WX-probability-distributions-1.5-1, WX-probability-distributions-1.6-1, WX-probability-distributions-1.7-1",7,"mapped"
"LO-C1-05","understand","WX-probability-distributions-1.1-1, WX-probability-distributions-1.2-1",2,"mapped"
"LO-C1-06","understand","",0,"unmapped"
"LO-C1-07","understand","",0,"unmapped"
"LO-C1-08","apply","WX-probability-distributions-1.1-2, WX-probability-distributions-1.2-1, WX-probability-distributions-1.3-2, WX-probability-distributions-1.4-2, WX-probability-distributions-1.5-1, WX-probability-distributions-1.6-2, WX-probability-distributions-1.7-2",7,"mapped"
"LO-C1-09","apply","WX-probability-distributions-1.1-2, WX-probability-distributions-1.2-1, WX-probability-distributions-1.3-2, WX-probability-distributions-1.4-2, WX-probability-distributions-1.5-1, WX-probability-distributions-1.6-2, WX-probability-distributions-1.7-2",7,"mapped"
"LO-C1-10","analyze","WX-probability-distributions-1.1-1, WX-probability-distributions-1.2-1",2,"mapped"
"LO-C1-11","analyze","WX-probability-distributions-1.2-1, WX-probability-distributions-1.3-1",2,"mapped"
"LO-C1-12","analyze","WX-probability-distributions-1.4-1, WX-probability-distributions-1.5-1",2,"mapped"
"LO-C1-13","evaluate","",0,"unmapped"
"LO-C1-14","evaluate","",0,"unmapped"
"LO-C1-15","create","",0,"unmapped"
"LO-C1-16","create","WX-probability-distributions-1.1-2, WX-probability-distributions-1.2-1, WX-probability-distributions-1.3-2, WX-probability-distributions-1.4-2, WX-probability-distributions-1.5-1, WX-probability-distributions-1.6-2, WX-probability-distributions-1.7-2",7,"mapped"
"LO-C2-01","remember","WX-population-estimation-2.2-1, WX-population-estimation-2.2-2, WX-population-estimation-2.3-1, WX-population-estimation-2.3-2, WX-population-estimation-2.3-3, WX-population-estimation-2.3-4, WX-population-estimation-2.3-5, WX-population-estimation-2.3-6",8,"mapped"
"LO-C2-02","remember","WX-population-estimation-2.2-1, WX-population-estimation-2.2-2, WX-population-estimation-2.6-1, WX-population-estimation-2.6-2",4,"mapped"
"LO-C2-03","remember","WX-population-estimation-2.5-1, WX-population-estimation-2.5-2",2,"mapped"
"LO-C2-04","understand","WX-population-estimation-2.4-1, WX-population-estimation-2.4-2",2,"mapped"
"LO-C2-05","understand","WX-population-estimation-2.1-1, WX-population-estimation-2.1-2",2,"mapped"
"LO-C2-06","understand","",0,"unmapped"
"LO-C2-07","apply","WX-population-estimation-2.2-1, WX-population-estimation-2.2-2",2,"mapped"
"LO-C2-08","apply","WX-population-estimation-2.3-1, WX-population-estimation-2.3-2, WX-population-estimation-2.3-3, WX-population-estimation-2.3-4, WX-population-estimation-2.3-5, WX-population-estimation-2.3-6, WX-population-estimation-2.6-1, WX-population-estimation-2.6-2",8,"mapped"
"LO-C2-09","analyze","WX-population-estimation-2.5-1, WX-population-estimation-2.5-2",2,"mapped"
"LO-C2-10","analyze","WX-population-estimation-2.4-1, WX-population-estimation-2.4-2",2,"mapped"
"LO-C2-11","evaluate","WX-population-estimation-2.4-1, WX-population-estimation-2.4-2",2,"mapped"
"LO-C2-12","evaluate","",0,"unmapped"
"LO-C2-13","create","WX-population-estimation-2.4-1, WX-population-estimation-2.4-2",2,"mapped"
"LO-C2-14","create","",0,"unmapped"
"LO-C3-01","apply","WX-auxiliary-variables-and-stratification-3.1-1, WX-auxiliary-variables-and-stratification-3.2-1, WX-auxiliary-variables-and-stratification-3.2-2, WX-auxiliary-variables-and-stratification-3.2-3, WX-auxiliary-variables-and-stratification-3.2-4, WX-auxiliary-variables-and-stratification-3.2-5, WX-auxiliary-variables-and-stratification-3.2-6, WX-auxiliary-variables-and-stratification-3.2-7, WX-auxiliary-variables-and-stratification-3.3-1, WX-auxiliary-variables-and-stratification-3.3-2, WX-auxiliary-variables-and-stratification-3.3-3, WX-auxiliary-variables-and-stratification-3.3-4, WX-auxiliary-variables-and-stratification-3.4-1, WX-auxiliary-variables-and-stratification-3.4-2, WX-auxiliary-variables-and-stratification-3.4-3, WX-auxiliary-variables-and-stratification-3.5-1, WX-auxiliary-variables-and-stratification-3.5-2, WX-auxiliary-variables-and-stratification-3.5-3, WX-auxiliary-variables-and-stratification-3.6-1, WX-auxiliary-variables-and-stratification-3.6-2, WX-auxiliary-variables-and-stratification-3.6-3, WX-auxiliary-variables-and-stratification-3.6-4, WX-auxiliary-variables-and-stratification-3.7-1, WX-auxiliary-variables-and-stratification-3.7-2, WX-auxiliary-variables-and-stratification-3.7-3, WX-auxiliary-variables-and-stratification-3.7-4, WX-auxiliary-variables-and-stratification-3.7-5, WX-auxiliary-variables-and-stratification-3.7-6, WX-auxiliary-variables-and-stratification-3.7-7, WX-auxiliary-variables-and-stratification-3.8-1, WX-auxiliary-variables-and-stratification-3.8-2, WX-auxiliary-variables-and-stratification-3.9-1, WX-auxiliary-variables-and-stratification-3.9-2, WX-auxiliary-variables-and-stratification-3.9-3, WX-auxiliary-variables-and-stratification-3.9-4, WX-auxiliary-variables-and-stratification-3.9-5, WX-auxiliary-variables-and-stratification-3.9-6, WX-auxiliary-variables-and-stratification-3.9-7",38,"mapped"
"LO-C3-02","remember","WX-auxiliary-variables-and-stratification-3.8-1",1,"mapped"
"LO-C3-03","remember","WX-auxiliary-variables-and-stratification-3.3-1, WX-auxiliary-variables-and-stratification-3.4-1, WX-auxiliary-variables-and-stratification-3.5-1, WX-auxiliary-variables-and-stratification-3.6-1",4,"mapped"
"LO-C3-04","remember","WX-auxiliary-variables-and-stratification-3.7-1",1,"mapped"
"LO-C3-05","understand","WX-auxiliary-variables-and-stratification-3.4-1",1,"mapped"
"LO-C3-06","understand","WX-auxiliary-variables-and-stratification-3.8-1",1,"mapped"
"LO-C3-07","understand","WX-auxiliary-variables-and-stratification-3.3-1, WX-auxiliary-variables-and-stratification-3.4-1, WX-auxiliary-variables-and-stratification-3.5-1, WX-auxiliary-variables-and-stratification-3.6-1",4,"mapped"
"LO-C3-08","apply","WX-auxiliary-variables-and-stratification-3.8-1",1,"mapped"
"LO-C3-09","apply","",0,"unmapped"
"LO-C3-10","apply","WX-auxiliary-variables-and-stratification-3.9-1",1,"mapped"
"LO-C3-11","analyze","WX-auxiliary-variables-and-stratification-3.2-1",1,"mapped"
