lo_id,chapter,bloom,competency,linked_to_chapter_content,linked_to_workshop_exercises,linked_to_case_study,linked_to_review_questions,workshop_link_count,review_link_count,traceability_classification
LO-C1-01,1,apply,technical_skills,True,True,False,False,13,0,B Partially traceable
LO-C1-02,1,remember,technical_skills,True,True,False,False,1,0,B Partially traceable
LO-C1-03,1,remember,technical_skills,True,True,False,False,2,0,B Partially traceable
LO-C1-04,1,remember,technical_skills,True,True,False,False,7,0,B Partially traceable
LO-C1-05,1,understand,statistical_reasoning,True,True,False,False,2,0,B Partially traceable
LO-C1-06,1,understand,statistical_reasoning,True,False,False,False,0,0,C Metadata incomplete
LO-C1-07,1,understand,statistical_reasoning,True,False,False,False,0,0,C Metadata incomplete
LO-C1-08,1,apply,technical_skills,True,True,False,False,7,0,B Partially traceable
LO-C1-09,1,apply,technical_skills,True,True,False,False,7,0,B Partially traceable
LO-C1-10,1,analyze,statistical_reasoning,True,True,False,False,2,0,B Partially traceable
LO-C1-11,1,analyze,statistical_reasoning,True,True,False,False,2,0,B Partially traceable
LO-C1-12,1,analyze,statistical_reasoning,True,True,False,False,2,0,B Partially traceable
LO-C1-13,1,evaluate,professional_judgment,True,False,False,False,0,0,C Metadata incomplete
LO-C1-14,1,evaluate,professional_judgment,True,False,False,False,0,0,C Metadata incomplete
LO-C1-15,1,create,professional_judgment,True,False,False,False,0,0,C Metadata incomplete
LO-C1-16,1,create,professional_judgment,True,True,False,False,7,0,B Partially traceable
LO-C2-01,2,remember,technical_skills,True,True,False,False,8,0,B Partially traceable
LO-C2-02,2,remember,technical_skills,True,True,False,False,4,0,B Partially traceable
LO-C2-03,2,remember,technical_skills,True,True,False,False,2,0,B Partially traceable
LO-C2-04,2,understand,statistical_reasoning,True,True,False,False,2,0,B Partially traceable
LO-C2-05,2,understand,statistical_reasoning,True,True,False,False,2,0,B Partially traceable
LO-C2-06,2,understand,statistical_reasoning,True,False,False,False,0,0,C Metadata incomplete
LO-C2-07,2,apply,technical_skills,True,True,False,False,2,0,B Partially traceable
LO-C2-08,2,apply,technical_skills,True,True,False,False,8,0,B Partially traceable
LO-C2-09,2,analyze,statistical_reasoning,True,True,False,False,2,0,B Partially traceable
LO-C2-10,2,analyze,statistical_reasoning,True,True,False,False,2,0,B Partially traceable
LO-C2-11,2,evaluate,professional_judgment,True,True,False,False,2,0,B Partially traceable
LO-C2-12,2,evaluate,professional_judgment,True,False,False,False,0,0,C Metadata incomplete
LO-C2-13,2,create,professional_judgment,True,True,False,False,2,0,B Partially traceable
LO-C2-14,2,create,professional_judgment,True,False,False,False,0,0,C Metadata incomplete
LO-C3-01,3,apply,technical_skills,True,True,False,False,38,0,B Partially traceable
