calc_id,chapter_slug,chapter_title,tex_file,line_number,context,numbers,classification,check_status,rationale,support_source
calc.pro.0001,pro,Probability Distributions,probability-distributions.tex,9,\input{generated/worked-calculations/prob-inline-linked-values},,must_be_generated_from_support_notebook,generated_snippet_linked,Line links to generated worked-calculation snippet path.,notebooks/support/probability-distributions/support.html
calc.pro.0002,pro,Probability Distributions,probability-distributions.tex,84,"For the following calculations, we assume that the number of erroneously reported PhD degrees is 17. The auditor selects a sample of 60 from the group of 331 PhD degrees.","17, 60, 331",static_theoretical_or_illustrative,intentional_manual,Line contains numeric content but no compute-signal pattern.,notebooks/support/probability-distributions/support.html
calc.pro.0003,pro,Probability Distributions,probability-distributions.tex,87,"What is the probability of finding 0, 1, or 2 errors in each sample?","0, 1, 2",static_theoretical_or_illustrative,intentional_manual,Line contains numeric content but no compute-signal pattern.,notebooks/support/probability-distributions/support.html
calc.pro.0004,pro,Probability Distributions,probability-distributions.tex,102,"In \emph{Case: Number of students}, the attribute is dichotomous: students on the list are either correctly or incorrectly reported. There is no in-between. For example, if government regulations state that a student ...","1, 60, 59",static_theoretical_or_illustrative,intentional_manual,Line contains numeric content but no compute-signal pattern.,notebooks/support/probability-distributions/support.html
calc.pro.0005,pro,Probability Distributions,probability-distributions.tex,111,"In this section, we assume that we sample without replacement. We sample \ProbSampleSize items from the list of \ProbPopulationSize PhDs in the \emph{Case: Number of students}, and we assume that \ProbErrorCount of th...","313, 330, 330",static_theoretical_or_illustrative,intentional_manual,Context appears referential/illustrative without explicit computation operator.,notebooks/support/probability-distributions/support.html
calc.pro.0006,pro,Probability Distributions,probability-distributions.tex,148,We can use Equation \ref{eq:hypergeometric} to calculate the probability of finding no errors in the sample of 60 elements from the list of 331 Ph.D.s.\footnote{See Section \ref{sec:workshop02r} and \ref{sec:workshop0...,"60, 331, 2, 2",static_theoretical_or_illustrative,intentional_manual,Context appears referential/illustrative without explicit computation operator.,notebooks/support/probability-distributions/support.html
calc.pro.0007,pro,Probability Distributions,probability-distributions.tex,151,P(\stoch{k} = 0) = \frac{,0,must_be_checked_against_support_notebook,checked_in_support_output,Numeric token(s) found in chapter support notebook output.,notebooks/support/probability-distributions/support.html
calc.pro.0008,pro,Probability Distributions,probability-distributions.tex,154,{\left( \begin{array}{c}331\\60\end{array} \right)} =,"331, 60",must_be_checked_against_support_notebook,checked_in_support_output,Numeric token(s) found in chapter support notebook output.,notebooks/support/probability-distributions/support.html
calc.pro.0009,pro,Probability Distributions,probability-distributions.tex,155,\frac{\frac{17!}{0!17!} \frac{314!}{60!254!}}{\frac{331!}{60!271!}} =,"17, 0, 17, 314, 60, 254, 331, 60, 271",must_be_checked_against_support_notebook,checked_in_support_output,Numeric token(s) found in chapter support notebook output.,notebooks/support/probability-distributions/support.html
calc.pro.0010,pro,Probability Distributions,probability-distributions.tex,157,Note that $\left( \begin{array}{c}17\\0\end{array} \right) = 1$.,"17, 0, 1",must_be_checked_against_support_notebook,checked_in_support_output,Numeric token(s) found in chapter support notebook output.,notebooks/support/probability-distributions/support.html
