"workshop_traceability_id","workshop_id","exercise","chunk","lo_ids","lo_count","mapping_status"
"WX-auxiliary-variables-and-stratification-3.1-1","auxiliary-variables-and-stratification","3.1",1,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.2-1","auxiliary-variables-and-stratification","3.2",1,"LO-C3-01, LO-C3-11",2,"mapped"
"WX-auxiliary-variables-and-stratification-3.2-2","auxiliary-variables-and-stratification","3.2",2,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.2-3","auxiliary-variables-and-stratification","3.2",3,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.2-4","auxiliary-variables-and-stratification","3.2",4,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.2-5","auxiliary-variables-and-stratification","3.2",5,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.2-6","auxiliary-variables-and-stratification","3.2",6,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.2-7","auxiliary-variables-and-stratification","3.2",7,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.3-1","auxiliary-variables-and-stratification","3.3",1,"LO-C3-01, LO-C3-03, LO-C3-07, LO-C3-14",4,"mapped"
"WX-auxiliary-variables-and-stratification-3.3-2","auxiliary-variables-and-stratification","3.3",2,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.3-3","auxiliary-variables-and-stratification","3.3",3,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.3-4","auxiliary-variables-and-stratification","3.3",4,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.4-1","auxiliary-variables-and-stratification","3.4",1,"LO-C3-01, LO-C3-03, LO-C3-05, LO-C3-07, LO-C3-14",5,"mapped"
"WX-auxiliary-variables-and-stratification-3.4-2","auxiliary-variables-and-stratification","3.4",2,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.4-3","auxiliary-variables-and-stratification","3.4",3,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.5-1","auxiliary-variables-and-stratification","3.5",1,"LO-C3-01, LO-C3-03, LO-C3-07, LO-C3-14",4,"mapped"
"WX-auxiliary-variables-and-stratification-3.5-2","auxiliary-variables-and-stratification","3.5",2,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.5-3","auxiliary-variables-and-stratification","3.5",3,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.6-1","auxiliary-variables-and-stratification","3.6",1,"LO-C3-01, LO-C3-03, LO-C3-07, LO-C3-14",4,"mapped"
"WX-auxiliary-variables-and-stratification-3.6-2","auxiliary-variables-and-stratification","3.6",2,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.6-3","auxiliary-variables-and-stratification","3.6",3,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.6-4","auxiliary-variables-and-stratification","3.6",4,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.7-1","auxiliary-variables-and-stratification","3.7",1,"LO-C3-01, LO-C3-04, LO-C3-13, LO-C3-16",4,"mapped"
"WX-auxiliary-variables-and-stratification-3.7-2","auxiliary-variables-and-stratification","3.7",2,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.7-3","auxiliary-variables-and-stratification","3.7",3,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.7-4","auxiliary-variables-and-stratification","3.7",4,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.7-5","auxiliary-variables-and-stratification","3.7",5,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.7-6","auxiliary-variables-and-stratification","3.7",6,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.7-7","auxiliary-variables-and-stratification","3.7",7,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.8-1","auxiliary-variables-and-stratification","3.8",1,"LO-C3-01, LO-C3-02, LO-C3-06, LO-C3-08, LO-C3-12",5,"mapped"
"WX-auxiliary-variables-and-stratification-3.8-2","auxiliary-variables-and-stratification","3.8",2,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.9-1","auxiliary-variables-and-stratification","3.9",1,"LO-C3-01, LO-C3-10, LO-C3-15",3,"mapped"
"WX-auxiliary-variables-and-stratification-3.9-2","auxiliary-variables-and-stratification","3.9",2,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.9-3","auxiliary-variables-and-stratification","3.9",3,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.9-4","auxiliary-variables-and-stratification","3.9",4,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.9-5","auxiliary-variables-and-stratification","3.9",5,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.9-6","auxiliary-variables-and-stratification","3.9",6,"LO-C3-01",1,"mapped"
"WX-auxiliary-variables-and-stratification-3.9-7","auxiliary-variables-and-stratification","3.9",7,"LO-C3-01",1,"mapped"
"WX-goodness-of-fit-6.1-1","goodness-of-fit","6.1",1,"LO-C6-01, LO-C6-03",2,"mapped"
"WX-goodness-of-fit-6.2-1","goodness-of-fit","6.2",1,"LO-C6-01, LO-C6-04, LO-C6-06, LO-C6-07, LO-C6-13, LO-C6-19, LO-C6-21, LO-C6-23",8,"mapped"
"WX-goodness-of-fit-6.2-10","goodness-of-fit","6.2",10,"LO-C6-01, LO-C6-23",2,"mapped"
"WX-goodness-of-fit-6.2-11","goodness-of-fit","6.2",11,"LO-C6-01, LO-C6-02",2,"mapped"
"WX-goodness-of-fit-6.2-12","goodness-of-fit","6.2",12,"LO-C6-01, LO-C6-02",2,"mapped"
"WX-goodness-of-fit-6.2-13","goodness-of-fit","6.2",13,"LO-C6-01, LO-C6-02, LO-C6-16",3,"mapped"
"WX-goodness-of-fit-6.2-14","goodness-of-fit","6.2",14,"LO-C6-01, LO-C6-10, LO-C6-15, LO-C6-17, LO-C6-18, LO-C6-20, LO-C6-23",7,"mapped"
"WX-goodness-of-fit-6.2-15","goodness-of-fit","6.2",15,"LO-C6-01, LO-C6-02",2,"mapped"
"WX-goodness-of-fit-6.2-16","goodness-of-fit","6.2",16,"LO-C6-01, LO-C6-02",2,"mapped"
"WX-goodness-of-fit-6.2-17","goodness-of-fit","6.2",17,"LO-C6-01, LO-C6-02",2,"mapped"
"WX-goodness-of-fit-6.2-18","goodness-of-fit","6.2",18,"LO-C6-01, LO-C6-02",2,"mapped"
"WX-goodness-of-fit-6.2-2","goodness-of-fit","6.2",2,"LO-C6-01, LO-C6-11, LO-C6-13",3,"mapped"
"WX-goodness-of-fit-6.2-3","goodness-of-fit","6.2",3,"LO-C6-01, LO-C6-13",2,"mapped"
